txn_id,sourceTimestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
69708,28,337.0,1,337.0,NaN,337.0,337.0,337.0,NaN,0.0,NaN,NaN,337.0,0.0,NaN,NaN
69726,28,303.22,1,303.22,NaN,303.22,303.22,303.22,NaN,0.0,NaN,NaN,303.22,0.0,NaN,NaN
69956,28,429.12,1,429.12,NaN,429.12,429.12,429.12,NaN,0.0,NaN,NaN,429.12,0.0,NaN,NaN
69968,28,20.3,1,20.3,NaN,20.3,20.3,20.3,NaN,0.0,NaN,NaN,20.3,0.0,NaN,NaN
70355,28,114.94,1,114.94,NaN,114.94,114.94,114.94,NaN,0.0,NaN,NaN,114.94,0.0,NaN,NaN
70522,28,367.34,1,367.34,NaN,367.34,367.34,367.34,NaN,0.0,NaN,NaN,367.34,0.0,NaN,NaN
70588,28,452.16,1,452.16,NaN,452.16,452.16,452.16,NaN,0.0,NaN,NaN,452.16,0.0,NaN,NaN
70620,28,92.3,1,92.3,NaN,92.3,92.3,92.3,NaN,0.0,NaN,NaN,92.3,0.0,NaN,NaN
71101,28,138.4,1,138.4,NaN,138.4,138.4,138.4,NaN,0.0,NaN,NaN,138.4,0.0,NaN,NaN
71531,28,134.9,1,134.9,NaN,134.9,134.9,134.9,NaN,0.0,NaN,NaN,134.9,0.0,NaN,NaN
72158,28,203.08,1,203.08,NaN,203.08,203.08,203.08,NaN,0.0,NaN,NaN,203.08,0.0,NaN,NaN
72163,28,329.44,1,329.44,NaN,329.44,329.44,329.44,NaN,0.0,NaN,NaN,329.44,0.0,NaN,NaN
72437,28,157.2,1,157.2,NaN,157.2,157.2,157.2,NaN,0.0,NaN,NaN,157.2,0.0,NaN,NaN
72651,28,13249.94,1,13249.94,NaN,13249.94,13249.94,13249.94,NaN,0.0,NaN,NaN,13249.94,0.0,NaN,NaN
73107,28,186.26,1,186.26,NaN,186.26,186.26,186.26,NaN,0.0,NaN,NaN,186.26,0.0,NaN,NaN
74024,28,171.06,1,171.06,NaN,171.06,171.06,171.06,NaN,0.0,NaN,NaN,171.06,0.0,NaN,NaN
74246,28,350.3,1,350.3,NaN,350.3,350.3,350.3,NaN,0.0,NaN,NaN,350.3,0.0,NaN,NaN
74360,28,173.04,1,173.04,NaN,173.04,173.04,173.04,NaN,0.0,NaN,NaN,173.04,0.0,NaN,NaN
74412,28,543.75,1,543.75,NaN,543.75,543.75,543.75,NaN,0.0,NaN,NaN,543.75,0.0,NaN,NaN
74512,28,647.52,1,647.52,NaN,647.52,647.52,647.52,NaN,0.0,NaN,NaN,647.52,0.0,NaN,NaN
75065,28,158.1,1,158.1,NaN,158.1,158.1,158.1,NaN,0.0,NaN,NaN,158.1,0.0,NaN,NaN
75174,28,393.74,1,393.74,NaN,393.74,393.74,393.74,NaN,0.0,NaN,NaN,393.74,0.0,NaN,NaN
75394,28,225.18,1,225.18,NaN,225.18,225.18,225.18,NaN,0.0,NaN,NaN,225.18,0.0,NaN,NaN
75563,28,996.84,1,996.84,NaN,996.84,996.84,996.84,NaN,0.0,NaN,NaN,996.84,0.0,NaN,NaN
76148,28,45.0,1,45.0,NaN,45.0,45.0,45.0,NaN,0.0,NaN,NaN,45.0,0.0,NaN,NaN
76696,28,222.4,1,222.4,NaN,222.4,222.4,222.4,NaN,0.0,NaN,NaN,222.4,0.0,NaN,NaN
77263,28,907.0,1,907.0,NaN,907.0,907.0,907.0,NaN,0.0,NaN,NaN,907.0,0.0,NaN,NaN
77265,28,492.5,1,492.5,NaN,492.5,492.5,492.5,NaN,0.0,NaN,NaN,492.5,0.0,NaN,NaN
77366,28,4534.22,1,4534.22,NaN,4534.22,4534.22,4534.22,NaN,0.0,NaN,NaN,4534.22,0.0,NaN,NaN
77437,28,353.39,1,353.39,NaN,353.39,353.39,353.39,NaN,0.0,NaN,NaN,353.39,0.0,NaN,NaN
77819,28,308.77,1,308.77,NaN,308.77,308.77,308.77,NaN,0.0,NaN,NaN,308.77,0.0,NaN,NaN
77891,28,163.96,1,163.96,NaN,163.96,163.96,163.96,NaN,0.0,NaN,NaN,163.96,0.0,NaN,NaN
77990,28,192.53,1,192.53,NaN,192.53,192.53,192.53,NaN,0.0,NaN,NaN,192.53,0.0,NaN,NaN
78050,28,422.1,1,422.1,NaN,422.1,422.1,422.1,NaN,0.0,NaN,NaN,422.1,0.0,NaN,NaN
78133,28,460.24,1,460.24,NaN,460.24,460.24,460.24,NaN,0.0,NaN,NaN,460.24,0.0,NaN,NaN
78157,28,302.96,1,302.96,NaN,302.96,302.96,302.96,NaN,0.0,NaN,NaN,302.96,0.0,NaN,NaN
78709,28,386.31,1,386.31,NaN,386.31,386.31,386.31,NaN,0.0,NaN,NaN,386.31,0.0,NaN,NaN
78963,28,114.23,1,114.23,NaN,114.23,114.23,114.23,NaN,0.0,NaN,NaN,114.23,0.0,NaN,NaN
79140,28,271.36,1,271.36,NaN,271.36,271.36,271.36,NaN,0.0,NaN,NaN,271.36,0.0,NaN,NaN
79319,28,826.04,1,826.04,NaN,826.04,826.04,826.04,NaN,0.0,NaN,NaN,826.04,0.0,NaN,NaN
79341,28,415.55,1,415.55,NaN,415.55,415.55,415.55,NaN,0.0,NaN,NaN,415.55,0.0,NaN,NaN
79565,28,223.68,1,223.68,NaN,223.68,223.68,223.68,NaN,0.0,NaN,NaN,223.68,0.0,NaN,NaN
79782,28,125.48,1,125.48,NaN,125.48,125.48,125.48,NaN,0.0,NaN,NaN,125.48,0.0,NaN,NaN
79810,28,175.31,1,175.31,NaN,175.31,175.31,175.31,NaN,0.0,NaN,NaN,175.31,0.0,NaN,NaN
80570,28,129.78,1,129.78,NaN,129.78,129.78,129.78,NaN,0.0,NaN,NaN,129.78,0.0,NaN,NaN
80693,28,243.96,1,243.96,NaN,243.96,243.96,243.96,NaN,0.0,NaN,NaN,243.96,0.0,NaN,NaN
81214,28,362.76,1,362.76,NaN,362.76,362.76,362.76,NaN,0.0,NaN,NaN,362.76,0.0,NaN,NaN
81291,28,543.28,1,543.28,NaN,543.28,543.28,543.28,NaN,0.0,NaN,NaN,543.28,0.0,NaN,NaN
81643,28,298.24,1,298.24,NaN,298.24,298.24,298.24,NaN,0.0,NaN,NaN,298.24,0.0,NaN,NaN
81667,28,338.63,1,338.63,NaN,338.63,338.63,338.63,NaN,0.0,NaN,NaN,338.63,0.0,NaN,NaN
81778,28,192.01,1,192.01,NaN,192.01,192.01,192.01,NaN,0.0,NaN,NaN,192.01,0.0,NaN,NaN
81886,28,39.48,1,39.48,NaN,39.48,39.48,39.48,NaN,0.0,NaN,NaN,39.48,0.0,NaN,NaN
82135,28,267.76,1,267.76,NaN,267.76,267.76,267.76,NaN,0.0,NaN,NaN,267.76,0.0,NaN,NaN
82248,28,688.62,1,688.62,NaN,688.62,688.62,688.62,NaN,0.0,NaN,NaN,688.62,0.0,NaN,NaN
82412,28,216.0,1,216.0,NaN,216.0,216.0,216.0,NaN,0.0,NaN,NaN,216.0,0.0,NaN,NaN
82638,28,3651.6,1,3651.6,NaN,3651.6,3651.6,3651.6,NaN,0.0,NaN,NaN,3651.6,0.0,NaN,NaN
82907,28,351.15,1,351.15,NaN,351.15,351.15,351.15,NaN,0.0,NaN,NaN,351.15,0.0,NaN,NaN
