counterparty_country,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
USA,25,318.45865384615394,52,364.4,4.066443072652738,13.65,1687.17,3.18,1.8662824279619081,339.06992890070075,342.3780065436723,342.3780065436723,16559.850000000006,114968.41668472627,117222.69936481894,117222.69936481894
NOR,19,313.2917647058824,34,15.8,0.21698156823406567,34.65,1109.53,2.95,0.9793005906131456,299.43411128788944,303.93713255919647,303.93713255919647,10651.92,89660.78700276815,92377.78054830657,92377.78054830657
JPN,29,3536.8552499999996,40,243.22,2.246785070250078,9500.0,21535.9,5.9,1.458226773858515,4866.368301194428,4928.362753347662,4928.362753347662,141474.21,2.368154044286994E7,2.428875942858455E7,2.428875942858455E7
FRA,9,282.59555555555556,45,70.8,-0.08926219891991449,477.72,871.6,2.07,0.6862973544572035,213.67772948537407,216.09224374574555,216.09224374574555,12716.8,45658.1720780247,46695.85780707071,46695.85780707071
DEU,27,413.84365384615387,52,133.48,5.8321212996836795,303.96,2327.0,1.65,2.3810751051806727,483.98858367825187,488.71053533675,488.71053533675,21519.870000000003,234244.9491308802,238837.98734913277,238837.98734913277
AUT,21,323.9532,50,139.12,27.372161689363164,48.35,2945.5,1.95,4.8488346441950085,420.33425036958386,424.6017125732812,424.6017125732812,16197.659999999998,176680.88203376002,180286.6143201633,180286.6143201633
RUS,26,333.2406060606061,33,3193.92,19.93655793296458,18.4,3193.92,2.71,4.345743631312528,545.7299265506391,554.1913602320693,554.1913602320693,10996.940000000002,297821.152732966,307128.0637558712,307128.0637558712
ESP,31,310.71799999999996,15,454.6,-0.667399149327196,18.75,836.79,9.9,0.5346826116256148,248.48536086189597,257.20678429732646,257.20678429732646,4660.7699999999995,61744.97456266666,66155.32988857143,66155.32988857143
ZAF,27,501.0577777777778,63,1830.02,42.31998126323987,4.1,8895.76,4.1,6.253424439813016,1149.1108234636947,1158.3407775493754,1158.3407775493754,31566.640000000003,1320455.6846014105,1341753.3569336913,1341753.3569336913
DNK,10,276.97789473684213,38,372.97,0.0017608187860136404,44.4,801.6,1.65,0.7120780244151836,204.67642219081074,207.42387965107133,207.42387965107133,10525.160000000002,41892.43780083101,43024.66584950212,43024.66584950212
DNK,7,392.3617142857143,35,199.65,24.31520359308894,4.95,4146.34,1.45,4.890941413760488,675.30405715811,685.163032048001,685.163032048001,13732.66,456035.569614204,469448.38048521004,469448.38048521004
FIN,24,457.06057142857156,70,101.14,11.387744272216077,97.14,3599.38,2.55,3.1003641288331374,601.7102005970403,606.054734998549,606.054734998549,31994.24000000001,362055.1655025305,367302.34181416145,367302.34181416145
AUS,19,290.0692452830189,53,112.9,11.427445758893356,36.6,2133.4,1.65,3.1134789041521174,377.318749344606,380.929537350863,380.929537350863,15373.670000000002,142369.43860697758,145107.3124263425,145107.3124263425
GRC,26,611.6466666666665,51,118.25,41.703816046370854,11.17,13464.26,10.95,6.476862357133563,1860.2186955182328,1878.7287901819857,1878.7287901819857,31193.979999999992,3460413.595155556,3529621.8670586674,3529621.8670586674
DEU,9,577.342564102564,39,406.6,6.50035415224286,136.85,3671.44,1.6,2.64982373943756,798.4469385119254,808.8845964000379,808.8845964000379,22516.359999999993,637517.5136190663,654294.2902932523,654294.2902932523
ITA,9,238.845,32,109.71,-0.5798264327511866,3.15,599.45,3.15,0.281566632825377,148.3255818925043,150.69894190180162,150.69894190180162,7643.04,22000.478243749996,22710.171090322576,22710.171090322576
NLD,30,501.54869565217376,23,847.85,5.615074952724452,14.55,2907.2,3.9,2.349550740081616,653.8786976011372,668.5744358185103,668.5744358185103,11535.619999999997,427557.35117655946,446991.7762300394,446991.7762300394
JPN,10,530.0992307692308,52,17.4,34.73312089571245,8.85,7837.5,3.75,5.674715035311497,1098.317269751334,1109.0328139363742,1109.0328139363742,27565.16,1206300.8250340242,1229953.7823876324,1229953.7823876324
ITA,7,330.52690476190463,42,354.23,23.275224676207674,38.65,2938.76,1.65,4.506187800451147,452.93729489005904,458.42764437718,458.42764437718,13882.129999999996,205152.1931023243,210155.90512921024,210155.90512921024
NOR,18,484.7583783783783,37,194.85,0.8515968858405465,20.25,1732.93,5.35,1.227911908971143,433.73325315759183,439.7160634085586,439.7160634085586,17936.059999999998,188124.53489466765,193350.21641951954,193350.21641951954
USA,16,451.56636363636375,44,540.38,19.294298559354967,45.74,3949.32,1.95,4.020764845483926,626.9411317264271,634.1892468747682,634.1892468747682,19868.920000000006,393055.1826504132,402196.0008515856,402196.0008515856
ZAF,14,722.5615517241379,58,2730.96,39.238308421442675,0.85,13355.4,0.85,6.059090218922631,1796.771706210126,1812.4643334700572,1812.4643334700572,41908.57,3228388.564237247,3285026.9601010587,3285026.9601010587
FRA,21,282.3641176470589,51,192.46,2.2467974633502994,35.4,1050.66,6.95,1.0485972168957012,201.427222162604,203.43152249517746,203.43152249517746,14400.570000000003,40572.92582814303,41384.38434470589,41384.38434470589
RUS,15,417.97727272727286,66,215.58,47.36061417340702,16.4,6068.06,6.7,6.622242307301604,744.254093692074,749.9572735984476,749.9572735984476,27586.500000000007,553914.1559774105,562435.9122232167,562435.9122232167
ITA,21,234.3227027027027,37,70.8,3.21354706150537,13.66,1050.66,1.45,1.6331830210366123,231.28831602100124,234.4786503980533,234.4786503980533,8669.94,53494.28512783054,54980.2374924925,54980.2374924925
ITA,19,869.4367567567567,37,22.2,31.69872634468168,30.6,22775.93,1.65,5.790050776121693,3659.7245682398934,3710.2059124835755,3710.2059124835755,32169.16,1.3393583915378673E7,1.3765627913028082E7,1.3765627913028082E7
DNK,3,299.5823636363636,55,841.94,9.317669451209841,16.6,1652.27,2.08,2.388192374268024,270.0610293784697,272.5501237418856,272.5501237418856,16477.03,72932.95958895868,74283.56995171717,74283.56995171717
GRC,27,419.6265277777777,72,254.39,18.174416469806133,98.51,3876.86,2.95,3.630915804872185,559.7738185696069,563.7021040874006,563.7021040874006,30213.109999999993,313346.72795599914,317760.06215256255,317760.06215256255
AUS,26,359.91222222222217,36,326.6,4.856663784402506,4.95,1761.26,2.55,2.0158326490206653,359.01196798459637,364.10459068876753,364.10459068876753,12956.839999999998,128889.59315617286,132572.15296063494,132572.15296063494
