counterparty_acct_id,acct_stat_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
5908,2,1460.8666666666666,3,107.6,-1.4999999999999996,3969.93,3969.93,107.6,0.7005561023081409,1776.0063266091017,2175.154640073513,2175.154640073513,4382.599999999999,3154198.4721555556,4731297.708233333,4731297.708233333
4487,15,107.6,1,107.6,NaN,107.6,107.6,107.6,NaN,0.0,NaN,NaN,107.6,0.0,NaN,NaN
1432,9,244.69,1,244.69,NaN,244.69,244.69,244.69,NaN,0.0,NaN,NaN,244.69,0.0,NaN,NaN
4551,7,135.37,1,135.37,NaN,135.37,135.37,135.37,NaN,0.0,NaN,NaN,135.37,0.0,NaN,NaN
6713,25,227.7,1,227.7,NaN,227.7,227.7,227.7,NaN,0.0,NaN,NaN,227.7,0.0,NaN,NaN
2180,8,326.34,1,326.34,NaN,326.34,326.34,326.34,NaN,0.0,NaN,NaN,326.34,0.0,NaN,NaN
6030,16,1307.41,2,1948.92,-2.000000000000001,665.9,1948.92,665.9,0.0,641.51,907.2321423979641,907.2321423979641,2614.82,411535.08009999996,823070.1601999999,823070.1601999999
6114,12,186.72,2,154.25,-1.999999999999998,219.19,219.19,154.25,-4.250825627666003E-16,32.47,45.9195143702544,45.9195143702544,373.44,1054.3009,2108.6018,2108.6018
5742,1,115.63499999999999,2,202.1,-2.0000000000000013,29.17,202.1,29.17,-3.601795916098176E-16,86.465,122.27997567058966,122.27997567058966,231.26999999999998,7476.196225000001,14952.392450000001,14952.392450000001
4544,5,253.7,1,253.7,NaN,253.7,253.7,253.7,NaN,0.0,NaN,NaN,253.7,0.0,NaN,NaN
1874,3,95.4,1,95.4,NaN,95.4,95.4,95.4,NaN,0.0,NaN,NaN,95.4,0.0,NaN,NaN
1920,10,173.39,1,173.39,NaN,173.39,173.39,173.39,NaN,0.0,NaN,NaN,173.39,0.0,NaN,NaN
6137,6,286.215,2,525.03,-2.0000000000000027,47.4,525.03,47.4,-5.470226547498602E-16,238.815,337.7354118981307,337.7354118981307,572.43,57032.604224999995,114065.20844999999,114065.20844999999
1069,17,505.46,1,505.46,NaN,505.46,505.46,505.46,NaN,0.0,NaN,NaN,505.46,0.0,NaN,NaN
6842,14,148.29500000000002,2,104.25,-2.000000000000001,192.34,192.34,104.25,3.406122857933002E-16,44.045,62.289036354722974,62.289036354722974,296.59000000000003,1939.962025,3879.92405,3879.92405
6271,14,426.42,2,829.96,-1.9999999999999998,22.88,829.96,22.88,0.0,403.54,570.6917409600388,570.6917409600388,852.84,162844.53160000002,325689.06320000003,325689.06320000003
5792,25,130.47,2,252.62,-1.9999999999999998,8.32,252.62,8.32,0.0,122.15,172.74618664387356,172.74618664387356,260.94,14920.622500000001,29841.245000000003,29841.245000000003
6054,29,147.60500000000002,2,190.15,-1.9999999999999987,105.06,190.15,105.06,3.779240828358686E-16,42.545,60.16771601116333,60.16771601116333,295.21000000000004,1810.077025,3620.15405,3620.15405
6275,31,310.79,1,310.79,NaN,310.79,310.79,310.79,NaN,0.0,NaN,NaN,310.79,0.0,NaN,NaN
3726,24,375.19,1,375.19,NaN,375.19,375.19,375.19,NaN,0.0,NaN,NaN,375.19,0.0,NaN,NaN
2762,21,525.8299999999999,2,624.43,-2.000000000000001,427.23,624.43,427.23,0.0,98.59999999999997,139.44145724998714,139.44145724998714,1051.6599999999999,9721.959999999994,19443.919999999987,19443.919999999987
6077,14,32.82,1,32.82,NaN,32.82,32.82,32.82,NaN,0.0,NaN,NaN,32.82,0.0,NaN,NaN
4644,12,189.32999999999998,2,346.01,-2.0,32.65,346.01,32.65,0.0,156.68,221.57898095261655,221.57898095261655,378.65999999999997,24548.622400000004,49097.24480000001,49097.24480000001
4547,31,118.52,2,15.0,-1.9999999999999991,222.04,222.04,15.0,0.0,103.52,146.39938797686278,146.39938797686278,237.04,10716.390399999998,21432.780799999997,21432.780799999997
5994,3,292.68,1,292.68,NaN,292.68,292.68,292.68,NaN,0.0,NaN,NaN,292.68,0.0,NaN,NaN
1759,6,249.76,1,249.76,NaN,249.76,249.76,249.76,NaN,0.0,NaN,NaN,249.76,0.0,NaN,NaN
6091,21,16.5,1,16.5,NaN,16.5,16.5,16.5,NaN,0.0,NaN,NaN,16.5,0.0,NaN,NaN
5629,14,123.12,2,51.84,-2.0000000000000004,194.4,194.4,51.84,0.0,71.28,100.80514272595423,100.80514272595423,246.24,5080.838400000001,10161.676800000001,10161.676800000001
3235,30,227.79,1,227.79,NaN,227.79,227.79,227.79,NaN,0.0,NaN,NaN,227.79,0.0,NaN,NaN
2652,27,4605.620000000001,2,8281.12,-2.0,930.12,8281.12,930.12,0.0,3675.5000000000005,5197.941948502312,5197.941948502312,9211.240000000002,1.3509300250000004E7,2.7018600500000007E7,2.7018600500000007E7
6156,25,328.98,1,328.98,NaN,328.98,328.98,328.98,NaN,0.0,NaN,NaN,328.98,0.0,NaN,NaN
3919,2,380.76,1,380.76,NaN,380.76,380.76,380.76,NaN,0.0,NaN,NaN,380.76,0.0,NaN,NaN
3183,16,2582.78,1,2582.78,NaN,2582.78,2582.78,2582.78,NaN,0.0,NaN,NaN,2582.78,0.0,NaN,NaN
4412,19,2182.71,1,2182.71,NaN,2182.71,2182.71,2182.71,NaN,0.0,NaN,NaN,2182.71,0.0,NaN,NaN
3060,31,305.12,1,305.12,NaN,305.12,305.12,305.12,NaN,0.0,NaN,NaN,305.12,0.0,NaN,NaN
