counterparty_id,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
12553,16,317.25,1,317.25,NaN,317.25,317.25,317.25,NaN,0.0,NaN,NaN,317.25,0.0,NaN,NaN
70310,25,1588.68,1,1588.68,NaN,1588.68,1588.68,1588.68,NaN,0.0,NaN,NaN,1588.68,0.0,NaN,NaN
70127,25,391.87,2,431.28,-2.0,352.46,431.28,352.46,0.0,39.41,55.73415649312367,55.73415649312367,783.74,1553.1480999999997,3106.2961999999993,3106.2961999999993
70363,22,201.5,1,201.5,NaN,201.5,201.5,201.5,NaN,0.0,NaN,NaN,201.5,0.0,NaN,NaN
16871,29,285.03,2,535.02,-1.9999999999999996,35.04,535.02,35.04,0.0,249.98999999999998,353.53924845765,353.53924845765,570.06,62495.00009999999,124990.00019999998,124990.00019999998
70233,5,272.895,2,258.41,-1.9999999999999993,287.38,287.38,258.41,0.0,14.484999999999985,20.484883450974262,20.484883450974262,545.79,209.81522499999957,419.63044999999914,419.63044999999914
70158,13,169.865,4,542.97,-0.6994382667870624,39.95,542.97,15.0,1.1136676703995334,216.71970497626654,250.2463600134875,250.2463600134875,679.46,46967.430525,62623.2407,62623.2407
14701,17,567.44,1,567.44,NaN,567.44,567.44,567.44,NaN,0.0,NaN,NaN,567.44,0.0,NaN,NaN
14194,23,619.665,2,213.98,-1.999999999999997,1025.35,1025.35,213.98,-4.46357933085092E-16,405.68499999999995,573.7252290513289,573.7252290513289,1239.33,164580.31922499996,329160.6384499999,329160.6384499999
16684,19,3080.22,2,4666.44,-2.0,1494.0,4666.44,1494.0,0.0,1586.2199999999998,2243.2538369074505,2243.2538369074505,6160.44,2516093.8883999996,5032187.776799999,5032187.776799999
15465,23,218.925,2,405.0,-2.0000000000000018,32.85,405.0,32.85,-5.782238997515493E-16,186.075,263.1497886185736,263.1497886185736,437.85,34623.90562499999,69247.81124999998,69247.81124999998
70026,9,132.39499999999998,2,246.54,-2.0000000000000004,18.25,246.54,18.25,0.0,114.145,161.42540707707693,161.42540707707693,264.78999999999996,13029.081025,26058.16205,26058.16205
69911,4,243.81,1,243.81,NaN,243.81,243.81,243.81,NaN,0.0,NaN,NaN,243.81,0.0,NaN,NaN
15812,29,519.96,1,519.96,NaN,519.96,519.96,519.96,NaN,0.0,NaN,NaN,519.96,0.0,NaN,NaN
70210,4,226.85,1,226.85,NaN,226.85,226.85,226.85,NaN,0.0,NaN,NaN,226.85,0.0,NaN,NaN
17212,2,226.85,1,226.85,NaN,226.85,226.85,226.85,NaN,0.0,NaN,NaN,226.85,0.0,NaN,NaN
69533,28,216.75,1,216.75,NaN,216.75,216.75,216.75,NaN,0.0,NaN,NaN,216.75,0.0,NaN,NaN
70446,4,105.395,2,32.32,-2.0,178.47,178.47,32.32,0.0,73.075,103.34365607041393,103.34365607041393,210.79,5339.9556250000005,10679.911250000001,10679.911250000001
69549,18,338.95,1,338.95,NaN,338.95,338.95,338.95,NaN,0.0,NaN,NaN,338.95,0.0,NaN,NaN
70001,24,426.24,1,426.24,NaN,426.24,426.24,426.24,NaN,0.0,NaN,NaN,426.24,0.0,NaN,NaN
69818,3,480.36,1,480.36,NaN,480.36,480.36,480.36,NaN,0.0,NaN,NaN,480.36,0.0,NaN,NaN
70162,23,172.75,1,172.75,NaN,172.75,172.75,172.75,NaN,0.0,NaN,NaN,172.75,0.0,NaN,NaN
69919,11,473.38,2,692.36,-1.9999999999999993,254.4,692.36,254.4,0.0,218.98000000000002,309.68448588846036,309.68448588846036,946.76,47952.24040000001,95904.48080000002,95904.48080000002
16634,13,53.1,1,53.1,NaN,53.1,53.1,53.1,NaN,0.0,NaN,NaN,53.1,0.0,NaN,NaN
15194,13,313.3,1,313.3,NaN,313.3,313.3,313.3,NaN,0.0,NaN,NaN,313.3,0.0,NaN,NaN
70279,26,348.26,1,348.26,NaN,348.26,348.26,348.26,NaN,0.0,NaN,NaN,348.26,0.0,NaN,NaN
14217,10,157.78666666666666,3,202.24,-1.4999999999999998,105.76,202.24,105.76,-0.27886910611064025,39.75017092905248,48.68381798229606,48.68381798229606,473.36,1580.076088888889,2370.1141333333335,2370.1141333333335
69427,14,1414.36,1,1414.36,NaN,1414.36,1414.36,1414.36,NaN,0.0,NaN,NaN,1414.36,0.0,NaN,NaN
15660,20,16.5,1,16.5,NaN,16.5,16.5,16.5,NaN,0.0,NaN,NaN,16.5,0.0,NaN,NaN
69892,23,395.725,2,772.57,-1.999999999999998,18.88,772.57,18.88,5.56880276248633E-16,376.845,532.9393099124891,532.9393099124891,791.45,142012.15402500003,284024.30805000005,284024.30805000005
16801,3,213.05,1,213.05,NaN,213.05,213.05,213.05,NaN,0.0,NaN,NaN,213.05,0.0,NaN,NaN
69446,20,916.74,1,916.74,NaN,916.74,916.74,916.74,NaN,0.0,NaN,NaN,916.74,0.0,NaN,NaN
69966,4,1116.99,2,35.85,-2.0000000000000018,2198.13,2198.13,35.85,3.77332561739761E-16,1081.14,1528.962850824048,1528.962850824048,2233.98,1168863.6996000002,2337727.3992000003,2337727.3992000003
17511,21,3460.72,2,4415.44,-2.000000000000001,2506.0,4415.44,2506.0,0.0,954.7199999999998,1350.177972268841,1350.177972268841,6921.44,911490.2783999996,1822980.5567999992,1822980.5567999992
70197,31,216.8,2,392.0,-2.000000000000001,41.6,392.0,41.6,-3.463600712005173E-16,175.2,247.77021612776625,247.77021612776625,433.6,30695.039999999997,61390.079999999994,61390.079999999994
69977,19,239.35,1,239.35,NaN,239.35,239.35,239.35,NaN,0.0,NaN,NaN,239.35,0.0,NaN,NaN
12432,13,700.0,1,700.0,NaN,700.0,700.0,700.0,NaN,0.0,NaN,NaN,700.0,0.0,NaN,NaN
70316,11,201.24,1,201.24,NaN,201.24,201.24,201.24,NaN,0.0,NaN,NaN,201.24,0.0,NaN,NaN
69428,17,114.76,1,114.76,NaN,114.76,114.76,114.76,NaN,0.0,NaN,NaN,114.76,0.0,NaN,NaN
70087,26,316.7,1,316.7,NaN,316.7,316.7,316.7,NaN,0.0,NaN,NaN,316.7,0.0,NaN,NaN
70076,30,108.95,1,108.95,NaN,108.95,108.95,108.95,NaN,0.0,NaN,NaN,108.95,0.0,NaN,NaN
17975,7,249.03,1,249.03,NaN,249.03,249.03,249.03,NaN,0.0,NaN,NaN,249.03,0.0,NaN,NaN
15053,24,255.95,1,255.95,NaN,255.95,255.95,255.95,NaN,0.0,NaN,NaN,255.95,0.0,NaN,NaN
69823,15,421.44,1,421.44,NaN,421.44,421.44,421.44,NaN,0.0,NaN,NaN,421.44,0.0,NaN,NaN
69527,9,163.68,1,163.68,NaN,163.68,163.68,163.68,NaN,0.0,NaN,NaN,163.68,0.0,NaN,NaN
13956,10,386.6,1,386.6,NaN,386.6,386.6,386.6,NaN,0.0,NaN,NaN,386.6,0.0,NaN,NaN
15044,24,78.155,2,154.21,-1.9999999999999998,2.1,154.21,2.1,0.0,76.055,107.55801248628576,107.55801248628576,156.31,5784.3630250000015,11568.726050000003,11568.726050000003
69609,15,360.54,1,360.54,NaN,360.54,360.54,360.54,NaN,0.0,NaN,NaN,360.54,0.0,NaN,NaN
18151,4,340.8,1,340.8,NaN,340.8,340.8,340.8,NaN,0.0,NaN,NaN,340.8,0.0,NaN,NaN
69641,1,3.95,1,3.95,NaN,3.95,3.95,3.95,NaN,0.0,NaN,NaN,3.95,0.0,NaN,NaN
69427,29,174.65,1,174.65,NaN,174.65,174.65,174.65,NaN,0.0,NaN,NaN,174.65,0.0,NaN,NaN
18143,21,519.98,1,519.98,NaN,519.98,519.98,519.98,NaN,0.0,NaN,NaN,519.98,0.0,NaN,NaN
16488,22,135.51,1,135.51,NaN,135.51,135.51,135.51,NaN,0.0,NaN,NaN,135.51,0.0,NaN,NaN
14505,13,1062.88,1,1062.88,NaN,1062.88,1062.88,1062.88,NaN,0.0,NaN,NaN,1062.88,0.0,NaN,NaN
13901,25,442.89,1,442.89,NaN,442.89,442.89,442.89,NaN,0.0,NaN,NaN,442.89,0.0,NaN,NaN
70231,31,162.48,1,162.48,NaN,162.48,162.48,162.48,NaN,0.0,NaN,NaN,162.48,0.0,NaN,NaN
15312,20,186.9,1,186.9,NaN,186.9,186.9,186.9,NaN,0.0,NaN,NaN,186.9,0.0,NaN,NaN
70342,10,91.86,1,91.86,NaN,91.86,91.86,91.86,NaN,0.0,NaN,NaN,91.86,0.0,NaN,NaN
70325,31,477.7,1,477.7,NaN,477.7,477.7,477.7,NaN,0.0,NaN,NaN,477.7,0.0,NaN,NaN
70062,2,324.0,1,324.0,NaN,324.0,324.0,324.0,NaN,0.0,NaN,NaN,324.0,0.0,NaN,NaN
70286,18,1228.83,1,1228.83,NaN,1228.83,1228.83,1228.83,NaN,0.0,NaN,NaN,1228.83,0.0,NaN,NaN
14997,2,278.4,1,278.4,NaN,278.4,278.4,278.4,NaN,0.0,NaN,NaN,278.4,0.0,NaN,NaN
70182,8,129.33,1,129.33,NaN,129.33,129.33,129.33,NaN,0.0,NaN,NaN,129.33,0.0,NaN,NaN
17640,25,621.66,1,621.66,NaN,621.66,621.66,621.66,NaN,0.0,NaN,NaN,621.66,0.0,NaN,NaN
69976,26,2184.775,2,4351.0,-2.000000000000002,18.55,4351.0,18.55,-3.7527478700170216E-16,2166.225,3063.504774151658,3063.504774151658,4369.55,4692530.750624999,9385061.501249999,9385061.501249999
69875,25,254.27,2,256.74,-2.0,251.8,256.74,251.8,0.0,2.469999999999999,3.493107499061543,3.493107499061543,508.54,6.100899999999994,12.201799999999988,12.201799999999988
17107,19,2182.71,1,2182.71,NaN,2182.71,2182.71,2182.71,NaN,0.0,NaN,NaN,2182.71,0.0,NaN,NaN
70092,28,358.3,2,236.4,-1.9999999999999991,480.2,480.2,236.4,0.0,121.89999999999999,172.39263325328028,172.39263325328028,716.6,14859.609999999999,29719.219999999998,29719.219999999998
13764,6,576.13,1,576.13,NaN,576.13,576.13,576.13,NaN,0.0,NaN,NaN,576.13,0.0,NaN,NaN
70389,15,757.42,1,757.42,NaN,757.42,757.42,757.42,NaN,0.0,NaN,NaN,757.42,0.0,NaN,NaN
69713,28,111.68,1,111.68,NaN,111.68,111.68,111.68,NaN,0.0,NaN,NaN,111.68,0.0,NaN,NaN
69924,26,498.36,1,498.36,NaN,498.36,498.36,498.36,NaN,0.0,NaN,NaN,498.36,0.0,NaN,NaN
17690,22,150.45,1,150.45,NaN,150.45,150.45,150.45,NaN,0.0,NaN,NaN,150.45,0.0,NaN,NaN
12939,30,1658.16,1,1658.16,NaN,1658.16,1658.16,1658.16,NaN,0.0,NaN,NaN,1658.16,0.0,NaN,NaN
70277,3,274.51,1,274.51,NaN,274.51,274.51,274.51,NaN,0.0,NaN,NaN,274.51,0.0,NaN,NaN
13991,13,199.96,1,199.96,NaN,199.96,199.96,199.96,NaN,0.0,NaN,NaN,199.96,0.0,NaN,NaN
